cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,,,,,
327,931,84,2018-03-23 01:07:42 UTC,1%,"$88,211.73 ","$149,873.73 ","$61,662.00 ","$1,755.48 ",82,0,Enviada,,,,,
976,650,84,2013-09-26 02:27:55 UTC,2%,"$93,482.84 ","$162,417.86 ","$68,935.02 ","$2,559.97 ",58,2,Enviada,,,,,
1727,964,84,2016-01-26 18:02:16 UTC,2%,"$103,497.56 ","$122,189.85 ","$18,692.29 ","$10,792.90 ",11,2,Enviada,,,,,
1791,150,84,2016-02-20 10:19:34 UTC,1%,"$12,435.58 ","$20,470.95 ","$8,035.37 ",$328.20 ,56,0,Enviada,,,,,
1847,841,84,2020-08-16 17:07:17 UTC,1%,"$109,073.28 ","$174,923.80 ","$65,850.52 ","$5,107.08 ",25,1,Enviada,,,,,
1981,956,84,2013-05-27 14:52:33 UTC,2%,"$111,381.12 ","$166,256.27 ","$54,875.15 ","$2,579.66 ",108,6,Enviada,,,,,
92,26,85,2016-12-22 01:31:23 UTC,1%,"$74,090.50 ","$112,484.19 ","$38,393.69 ","$1,610.40 ",61,5,Enviada,,,,,
496,154,85,2021-03-11 14:54:22 UTC,1%,"$30,205.04 ","$44,958.33 ","$14,753.29 ",$498.42 ,93,5,Enviada,,,,,
1110,559,85,2012-11-06 06:03:56 UTC,2%,"$116,305.09 ","$212,517.42 ","$96,212.33 ","$4,886.55 ",34,4,Enviada,,,,,
1350,138,85,2021-06-16 21:54:08 UTC,1%,"$97,368.23 ","$185,316.96 ","$87,948.73 ","$6,686.44 ",16,4,Enviada,,,,,
1431,632,85,2016-08-23 09:34:29 UTC,1%,"$101,033.29 ","$175,702.67 ","$74,669.38 ","$2,017.47 ",82,3,Enviada,,,,,
1563,624,85,2015-04-13 12:39:18 UTC,2%,"$100,596.54 ","$121,817.81 ","$21,221.27 ","$2,690.28 ",57,3,Enviada,,,,,
117,199,86,2017-08-05 14:43:50 UTC,2%,"$127,990.13 ","$174,164.23 ","$46,174.10 ","$3,028.35 ",90,1,Enviada,,,,,
697,324,86,2020-11-21 13:37:07 UTC,2%,"$81,725.16 ","$162,457.02 ","$80,731.86 ","$1,870.30 ",100,1,Enviada,,,,,
925,532,86,2013-03-11 21:41:55 UTC,2%,"$141,250.58 ","$230,607.85 ","$89,357.27 ","$4,792.90 ",50,5,Enviada,,,,,
934,247,86,2020-10-11 16:34:11 UTC,2%,"$71,362.77 ","$134,563.94 ","$63,201.17 ","$2,081.30 ",56,1,Enviada,,,,,
1134,493,86,2012-12-05 22:55:43 UTC,1%,"$65,569.51 ","$113,743.79 ","$48,174.28 ","$16,738.06 ",4,6,Enviada,,,,,
157,432,87,2014-12-05 01:58:14 UTC,2%,"$34,704.05 ","$61,034.51 ","$26,330.46 ","$2,047.36 ",20,4,Enviada,,,,,
1028,208,87,2020-02-06 07:39:40 UTC,1%,"$192,003.04 ","$238,886.79 ","$46,883.75 ","$13,325.61 ",16,0,Enviada,,,,,
1049,223,87,2011-09-04 13:40:23 UTC,1%,"$52,143.49 ","$89,547.76 ","$37,404.27 ","$4,997.19 ",11,2,Enviada,,,,,
1330,287,87,2020-01-15 02:41:31 UTC,2%,"$112,921.21 ","$150,691.15 ","$37,769.94 ","$3,757.91 ",49,0,Enviada,,,,,
1362,147,87,2016-09-19 19:23:45 UTC,2%,"$16,001.80 ","$30,296.83 ","$14,295.03 ",$458.06 ,56,4,Enviada,,,,,
1619,695,87,2010-05-11 06:36:10 UTC,2%,"$51,313.70 ","$71,639.69 ","$20,325.99 ","$1,597.61 ",65,2,Enviada,,,,,
572,321,88,2017-03-18 21:27:10 UTC,1%,"$13,142.16 ","$22,951.98 ","$9,809.82 ","$1,565.87 ",9,4,Enviada,,,,,
637,665,88,2021-11-11 23:21:55 UTC,1%,"$57,570.49 ","$109,616.72 ","$52,046.23 ","$1,079.63 ",89,5,Enviada,,,,,
1783,440,88,2017-10-03 12:01:46 UTC,1%,"$180,693.96 ","$237,827.14 ","$57,133.18 ","$2,981.16 ",87,5,Enviada,,,,,
1853,406,88,2017-05-20 22:11:10 UTC,2%,"$52,364.34 ","$102,554.87 ","$50,190.53 ","$1,477.53 ",62,1,Enviada,,,,,
1979,789,88,2018-05-18 22:57:27 UTC,1%,"$33,037.58 ","$53,902.25 ","$20,864.67 ","$6,877.51 ",5,3,Enviada,,,,,
383,805,89,2015-08-14 18:21:44 UTC,2%,"$98,749.20 ","$157,298.85 ","$58,549.65 ","$2,941.80 ",59,5,Enviada,,,,,
500,347,89,2022-06-17 10:33:09 UTC,2%,"$15,038.36 ","$19,967.63 ","$4,929.27 ",$435.42 ,70,0,Enviada,,,,,
526,739,89,2022-03-19 05:01:19 UTC,2%,"$77,244.24 ","$152,592.44 ","$75,348.20 ","$2,022.36 ",72,1,Enviada,,,,,
762,472,89,2022-01-11 08:47:38 UTC,1%,"$63,875.53 ","$126,975.98 ","$63,100.45 ","$1,152.70 ",83,5,Enviada,,,,,
1544,677,89,2018-09-28 19:30:19 UTC,2%,"$80,281.84 ","$138,404.47 ","$58,122.63 ","$2,555.13 ",58,5,Enviada,,,,,
1866,889,89,2017-02-12 15:40:40 UTC,2%,"$2,919.50 ","$5,704.98 ","$2,785.48 ",$255.74 ,13,1,Enviada,,,,,
334,807,90,2022-01-06 18:12:05 UTC,1%,"$1,701.52 ","$2,056.17 ",$354.65 ,$96.30 ,20,3,Enviada,,,,,
1552,609,90,2017-05-26 12:20:42 UTC,2%,"$69,729.76 ","$98,243.68 ","$28,513.92 ","$70,998.84 ",1,5,Enviada,,,,,
1628,692,90,2015-12-23 21:17:21 UTC,2%,"$49,577.64 ","$95,954.47 ","$46,376.83 ","$2,567.56 ",23,5,Enviada,,,,,
1809,836,90,2015-05-27 20:56:31 UTC,2%,"$63,240.41 ","$81,591.10 ","$18,350.69 ","$1,503.26 ",112,3,Enviada,,,,,
1869,195,90,2021-09-14 03:27:55 UTC,1%,"$33,978.13 ","$57,497.35 ","$23,519.22 ","$2,149.43 ",17,1,Enviada,,,,,
557,491,91,2016-01-05 16:12:40 UTC,1%,"$61,066.32 ","$118,844.09 ","$57,777.77 ","$1,263.76 ",69,5,Enviada,,,,,
1691,154,91,2020-12-29 01:20:14 UTC,2%,"$43,602.63 ","$56,330.60 ","$12,727.97 ","$15,045.85 ",3,3,Enviada,,,,,
1772,841,91,2019-11-17 18:57:13 UTC,2%,"$50,251.52 ","$69,195.26 ","$18,943.74 ","$5,246.22 ",11,4,Enviada,,,,,
4,454,92,2015-02-28 17:16:17 UTC,2%,"$159,503.55 ","$230,634.56 ","$71,131.01 ","$5,179.59 ",52,6,Enviada,,,,,
34,863,92,2019-03-12 04:55:52 UTC,1%,"$143,220.32 ","$187,987.07 ","$44,766.75 ","$3,120.33 ",71,2,Enviada,,,,,
247,330,92,2019-05-06 06:15:15 UTC,2%,"$4,192.06 ","$8,346.53 ","$4,154.47 ",$350.92 ,14,5,Enviada,,,,,
821,385,92,2011-07-28 04:02:11 UTC,2%,"$167,617.88 ","$241,756.20 ","$74,138.32 ","$5,000.59 ",53,4,Enviada,,,,,
5,535,93,2019-12-05 00:14:07 UTC,2%,"$69,165.19 ","$106,962.78 ","$37,797.59 ","$2,129.95 ",62,2,Enviada,,,,,
802,244,93,2016-12-15 19:47:29 UTC,2%,"$126,030.01 ","$178,749.29 ","$52,719.28 ","$3,000.06 ",113,4,Enviada,,,,,
955,694,93,2012-08-25 22:08:05 UTC,2%,"$25,248.93 ","$31,977.76 ","$6,728.83 ","$1,932.82 ",15,6,Enviada,,,,,
1226,706,93,2011-04-24 03:09:54 UTC,2%,"$127,090.66 ","$240,764.57 ","$113,673.91 ","$5,383.98 ",32,4,Enviada,,,,,
1882,937,93,2012-11-16 05:58:12 UTC,1%,"$120,882.69 ","$226,711.54 ","$105,828.85 ","$3,698.50 ",45,2,Enviada,,,,,
14,610,94,2019-07-11 13:28:03 UTC,2%,"$139,410.47 ","$203,931.20 ","$64,520.73 ","$5,028.45 ",43,3,Enviada,,,,,
318,787,94,2011-11-06 21:52:59 UTC,2%,"$82,631.65 ","$139,219.34 ","$56,587.69 ","$4,197.54 ",24,6,Enviada,,,,,
529,989,94,2012-07-21 12:12:22 UTC,1%,"$130,082.86 ","$201,668.56 ","$71,585.70 ","$2,898.11 ",59,5,Enviada,,,,,
1546,579,94,2015-11-21 19:02:10 UTC,2%,"$5,799.40 ","$10,184.94 ","$4,385.54 ","$1,221.48 ",5,0,Enviada,,,,,
1917,351,94,2013-10-16 14:57:35 UTC,2%,"$148,751.31 ","$241,262.01 ","$92,510.70 ","$4,099.98 ",56,6,Enviada,,,,,
845,261,95,2016-02-10 19:00:41 UTC,1%,"$111,264.40 ","$159,029.10 ","$47,764.70 ","$1,748.43 ",113,6,Enviada,,,,,
1388,651,95,2016-02-12 19:39:52 UTC,2%,"$53,598.77 ","$67,640.63 ","$14,041.86 ","$1,384.59 ",93,0,Enviada,,,,,
1417,308,95,2014-02-20 03:19:33 UTC,1%,"$30,035.87 ","$38,245.11 ","$8,209.24 ",$506.89 ,120,5,Enviada,,,,,
1685,429,95,2019-02-28 23:32:16 UTC,1%,"$140,067.95 ","$185,209.06 ","$45,141.11 ","$3,758.37 ",54,2,Enviada,,,,,
1702,764,95,2022-06-22 00:00:17 UTC,2%,"$144,333.30 ","$201,185.56 ","$56,852.26 ","$4,231.11 ",72,5,Enviada,,,,,
1742,569,95,2014-07-22 00:48:43 UTC,2%,"$87,748.67 ","$166,304.05 ","$78,555.38 ","$2,306.56 ",99,1,Enviada,,,,,
1961,162,95,2016-10-24 11:34:01 UTC,1%,"$127,250.24 ","$173,349.14 ","$46,098.90 ","$2,113.22 ",117,6,Enviada,,,,,
113,176,96,2021-12-10 00:25:09 UTC,2%,"$124,489.84 ","$232,380.19 ","$107,890.35 ","$4,051.17 ",52,6,Enviada,,,,,
221,662,96,2022-11-03 00:49:59 UTC,1%,"$19,232.11 ","$30,765.39 ","$11,533.28 ",$366.83 ,96,3,Enviada,,,,,
268,211,96,2021-11-19 08:13:59 UTC,2%,"$106,093.33 ","$172,061.77 ","$65,968.44 ","$2,487.04 ",100,4,Enviada,,,,,
377,771,96,2020-07-24 23:51:36 UTC,1%,"$34,762.03 ","$65,705.60 ","$30,943.57 ","$5,998.13 ",6,0,Enviada,,,,,
724,856,96,2014-03-07 09:18:05 UTC,1%,"$57,382.28 ","$90,788.13 ","$33,405.85 ","$1,448.89 ",56,3,Enviada,,,,,
849,215,96,2013-11-21 18:23:17 UTC,2%,"$37,589.10 ","$45,424.71 ","$7,835.61 ",$812.95 ,112,3,Enviada,,,,,
1039,290,96,2014-06-01 22:09:39 UTC,2%,"$97,385.14 ","$171,930.90 ","$74,545.76 ","$2,785.07 ",67,1,Enviada,,,,,
1762,411,96,2014-02-04 21:28:55 UTC,2%,"$82,020.39 ","$158,702.58 ","$76,682.19 ","$4,729.75 ",21,3,Enviada,,,,,
638,766,97,2013-01-24 20:33:43 UTC,2%,"$12,020.60 ","$20,327.29 ","$8,306.69 ",$330.43 ,81,3,Enviada,,,,,
1019,862,97,2022-01-07 07:17:19 UTC,1%,"$103,602.21 ","$182,932.70 ","$79,330.49 ","$3,095.69 ",40,6,Enviada,,,,,
1024,354,97,2019-06-09 14:46:50 UTC,2%,"$42,934.83 ","$59,069.10 ","$16,134.27 ","$2,051.78 ",26,4,Enviada,,,,,
1482,38,97,2015-02-16 15:56:08 UTC,1%,"$8,105.08 ","$15,004.54 ","$6,899.46 ",$144.87 ,77,1,Enviada,,,,,
471,944,98,2012-08-22 15:32:00 UTC,2%,$986.59 ,"$1,859.96 ",$873.37 ,$19.16 ,113,3,Enviada,,,,,
1266,422,98,2019-03-15 12:38:45 UTC,1%,"$83,621.21 ","$157,453.14 ","$73,831.93 ","$1,436.29 ",103,0,Enviada,,,,,
1942,628,98,2011-01-14 06:49:53 UTC,1%,"$129,951.85 ","$154,763.42 ","$24,811.57 ","$5,657.22 ",28,4,Enviada,,,,,
1955,688,98,2011-03-17 11:16:20 UTC,2%,"$115,367.77 ","$219,963.56 ","$104,595.79 ","$3,357.77 ",53,2,Enviada,,,,,
288,684,99,2010-06-03 04:04:33 UTC,2%,"$154,699.67 ","$216,491.47 ","$61,791.80 ","$5,157.05 ",48,5,Enviada,,,,,
450,936,99,2010-04-13 21:22:16 UTC,2%,"$62,883.74 ","$109,115.39 ","$46,231.65 ","$2,591.05 ",35,1,Enviada,,,,,
458,492,99,2022-07-18 07:39:52 UTC,1%,"$21,600.01 ","$40,310.37 ","$18,710.36 ",$753.15 ,35,0,Enviada,,,,,
682,397,99,2010-03-26 19:07:16 UTC,2%,"$154,850.56 ","$187,560.90 ","$32,710.34 ","$3,445.58 ",89,5,Enviada,,,,,
917,366,99,2012-07-13 15:53:52 UTC,2%,"$54,342.75 ","$97,311.34 ","$42,968.59 ","$1,379.12 ",63,4,Enviada,,,,,
1115,380,99,2017-10-05 18:40:10 UTC,2%,"$94,737.13 ","$182,392.49 ","$87,655.36 ","$2,611.20 ",56,2,Enviada,,,,,
1607,130,99,2020-08-29 02:35:37 UTC,2%,"$14,037.56 ","$19,633.56 ","$5,596.00 ","$1,007.01 ",17,0,Enviada,,,,,
1664,805,99,2015-11-24 23:41:06 UTC,2%,"$148,664.91 ","$209,612.60 ","$60,947.69 ","$5,245.01 ",43,6,Enviada,,,,,
1688,889,99,2014-05-16 23:57:47 UTC,2%,"$101,556.81 ","$162,054.91 ","$60,498.10 ","$2,836.82 ",78,2,Enviada,,,,,
1724,673,99,2012-05-15 11:46:09 UTC,2%,"$62,123.72 ","$119,646.36 ","$57,522.64 ","$1,613.05 ",68,0,Enviada,,,,,
1765,17,99,2016-06-12 02:31:57 UTC,1%,"$66,588.87 ","$119,811.49 ","$53,222.62 ","$5,282.15 ",14,0,Enviada,,,,,
151,579,100,2012-05-10 08:11:49 UTC,1%,"$34,995.30 ","$59,994.20 ","$24,998.90 ","$1,079.55 ",38,0,Enviada,,,,,
561,48,100,2019-08-11 23:25:23 UTC,2%,"$51,135.35 ","$82,532.59 ","$31,397.24 ","$1,265.18 ",105,0,Enviada,,,,,
750,708,100,2010-12-01 22:55:57 UTC,2%,"$2,620.73 ","$3,465.50 ",$844.77 ,$67.64 ,67,6,Enviada,,,,,
967,757,100,2018-05-20 18:15:28 UTC,2%,"$147,484.47 ","$188,587.30 ","$41,102.83 ","$3,396.12 ",78,5,Enviada,,,,,
1053,852,100,2014-03-12 21:45:07 UTC,1%,"$35,324.85 ","$53,339.03 ","$18,014.18 ","$2,497.75 ",16,4,Enviada,,,,,
1204,553,100,2018-01-02 17:13:49 UTC,2%,"$11,807.62 ","$15,875.49 ","$4,067.87 ",$296.32 ,88,3,Enviada,,,,,
1371,237,100,2012-06-09 17:41:36 UTC,2%,"$69,396.06 ","$138,626.51 ","$69,230.45 ","$1,649.71 ",106,0,Enviada,,,,,
1776,22,100,2014-07-17 00:32:18 UTC,2%,"$83,846.90 ","$124,477.48 ","$40,630.58 ","$2,537.39 ",58,5,Enviada,,,,,
3,215,1,2018-04-08 10:47:24 UTC,2%,"$154,691.56 ","$214,508.76 ","$59,817.20 ","$6,687.29 ",34,4,Aprovada,,,,,
372,193,1,2010-03-04 19:43:32 UTC,1%,"$128,429.43 ","$248,837.17 ","$120,407.74 ","$2,846.10 ",61,3,Aprovada,,,,,
669,82,1,2010-11-21 13:14:49 UTC,2%,"$148,806.31 ","$234,174.16 ","$85,367.85 ","$3,383.88 ",102,3,Aprovada,,,,,
1837,341,1,2015-03-07 05:40:35 UTC,1%,"$161,162.29 ","$228,485.39 ","$67,323.10 ","$3,701.83 ",67,6,Aprovada,,,,,
214,502,2,2012-09-25 11:50:19 UTC,1%,"$76,659.01 ","$133,066.12 ","$56,407.11 ","$2,188.84 ",43,6,Aprovada,,,,,
596,266,2,2022-07-05 17:39:02 UTC,2%,"$131,492.08 ","$206,480.64 ","$74,988.56 ","$45,969.01 ",3,5,Aprovada,,,,,
1021,790,2,2010-03-29 17:44:55 UTC,1%,"$83,080.83 ","$140,314.25 ","$57,233.42 ","$7,980.75 ",11,4,Aprovada,,,,,
1156,669,2,2022-11-03 05:06:09 UTC,2%,"$7,234.21 ","$10,905.53 ","$3,671.32 ",$210.46 ,59,6,Aprovada,,,,,
1735,725,2,2016-11-21 07:39:18 UTC,1%,"$86,125.76 ","$143,359.53 ","$57,233.77 ","$1,323.79 ",97,3,Aprovada,,,,,
337,566,3,2022-12-18 20:55:58 UTC,1%,"$69,848.71 ","$127,319.85 ","$57,471.14 ","$2,628.11 ",30,4,Aprovada,,,,,
563,435,3,2014-12-29 06:35:43 UTC,2%,"$98,018.24 ","$163,214.64 ","$65,196.40 ","$3,602.03 ",38,5,Aprovada,,,,,
938,154,3,2014-02-18 18:05:26 UTC,2%,"$188,729.37 ","$242,187.95 ","$53,458.58 ","$6,137.94 ",57,0,Aprovada,,,,,
1499,986,3,2011-11-23 08:50:33 UTC,1%,"$9,742.68 ","$14,569.05 ","$4,826.37 ",$134.36 ,118,6,Aprovada,,,,,
1500,673,3,2017-07-25 11:03:15 UTC,2%,"$153,458.11 ","$186,909.25 ","$33,451.14 ","$4,167.44 ",88,1,Aprovada,,,,,
1804,659,3,2012-12-17 04:00:05 UTC,1%,"$110,462.59 ","$187,926.74 ","$77,464.15 ","$3,645.43 ",40,3,Aprovada,,,,,
152,569,4,2015-09-03 17:27:44 UTC,1%,"$102,555.08 ","$151,511.08 ","$48,956.00 ","$5,683.12 ",20,2,Aprovada,,,,,
785,644,5,2021-01-05 12:43:09 UTC,1%,"$100,312.23 ","$142,248.96 ","$41,936.73 ","$1,768.19 ",90,6,Aprovada,,,,,
1185,535,5,2017-08-01 09:47:51 UTC,2%,"$121,875.12 ","$145,161.31 ","$23,286.19 ","$16,816.89 ",8,5,Aprovada,,,,,
1391,740,5,2021-01-28 07:57:09 UTC,2%,"$10,855.04 ","$17,090.85 ","$6,235.81 ",$255.17 ,90,3,Aprovada,,,,,
1908,380,5,2012-11-13 03:46:19 UTC,2%,"$2,709.30 ","$3,343.00 ",$633.70 ,$96.58 ,47,4,Aprovada,,,,,
614,826,6,2010-08-27 17:11:37 UTC,1%,"$44,364.98 ","$53,280.04 ","$8,915.06 ",$811.83 ,90,6,Aprovada,,,,,
1386,897,6,2018-08-22 19:58:57 UTC,1%,"$47,721.43 ","$63,892.83 ","$16,171.40 ","$2,738.49 ",19,0,Aprovada,,,,,
1958,643,6,2015-12-28 22:10:38 UTC,1%,"$158,198.87 ","$190,935.60 ","$32,736.73 ","$2,975.52 ",73,1,Aprovada,,,,,
13,112,7,2021-08-21 03:04:37 UTC,2%,$944.01 ,"$1,652.35 ",$708.34 ,$22.34 ,116,6,Aprovada,,,,,
899,186,7,2018-07-07 04:36:14 UTC,2%,"$81,940.15 ","$127,497.71 ","$45,557.56 ","$2,230.04 ",54,4,Aprovada,,,,,
1069,304,7,2022-01-22 22:34:40 UTC,2%,"$101,745.77 ","$142,646.60 ","$40,900.83 ","$2,052.98 ",103,6,Aprovada,,,,,
1800,382,7,2021-08-23 13:43:00 UTC,2%,"$79,373.67 ","$138,677.79 ","$59,304.12 ","$27,271.60 ",3,4,Aprovada,,,,,
265,481,8,2019-09-24 00:31:23 UTC,1%,"$2,721.37 ","$3,718.44 ",$997.07 ,$52.19 ,86,4,Aprovada,,,,,
666,626,8,2013-04-16 09:22:43 UTC,1%,"$16,701.13 ","$21,132.31 ","$4,431.18 ",$452.74 ,44,4,Aprovada,,,,,
101,827,9,2015-12-29 15:40:59 UTC,2%,"$23,780.28 ","$38,218.77 ","$14,438.49 ",$516.43 ,98,3,Aprovada,,,,,
746,92,9,2011-12-01 03:32:56 UTC,2%,"$75,780.24 ","$108,197.34 ","$32,417.10 ","$2,053.98 ",98,4,Aprovada,,,,,
1705,585,9,2020-04-30 19:05:21 UTC,2%,"$104,978.22 ","$157,068.88 ","$52,090.66 ","$2,843.76 ",97,0,Aprovada,,,,,
164,59,10,2015-08-04 08:33:35 UTC,2%,"$71,884.51 ","$123,637.15 ","$51,752.64 ","$2,299.75 ",52,6,Aprovada,,,,,
379,797,10,2022-05-16 01:00:15 UTC,2%,"$30,567.29 ","$57,420.05 ","$26,852.76 ",$702.26 ,90,2,Aprovada,,,,,
417,126,10,2020-04-25 18:08:17 UTC,2%,"$133,251.20 ","$192,758.12 ","$59,506.92 ","$3,889.02 ",78,0,Aprovada,,,,,
453,586,10,2013-09-17 00:09:56 UTC,1%,"$77,458.86 ","$146,368.08 ","$68,909.22 ","$2,000.44 ",54,1,Aprovada,,,,,
479,160,10,2012-04-03 13:54:13 UTC,1%,"$106,241.69 ","$129,159.36 ","$22,917.67 ","$2,070.41 ",78,4,Aprovada,,,,,
542,344,10,2019-01-18 10:44:28 UTC,2%,"$64,202.22 ","$118,357.50 ","$54,155.28 ","$1,817.78 ",61,0,Aprovada,,,,,
585,433,10,2012-05-30 12:54:53 UTC,2%,"$43,340.19 ","$68,132.12 ","$24,791.93 ",$871.41 ,101,3,Aprovada,,,,,
1485,534,10,2012-06-16 13:42:10 UTC,2%,"$23,033.62 ","$34,129.87 ","$11,096.25 ",$781.60 ,44,0,Aprovada,,,,,
1496,844,10,2011-09-29 00:33:30 UTC,1%,"$83,829.25 ","$150,136.05 ","$66,306.80 ","$1,247.27 ",114,0,Aprovada,,,,,
1529,64,10,2015-08-24 13:23:03 UTC,2%,"$125,748.13 ","$228,795.46 ","$103,047.33 ","$2,756.97 ",90,4,Aprovada,,,,,
1567,322,10,2018-06-16 22:36:34 UTC,1%,"$99,162.61 ","$123,829.91 ","$24,667.30 ","$5,489.60 ",20,1,Aprovada,,,,,
1629,989,10,2015-07-04 06:01:40 UTC,1%,"$93,795.29 ","$147,038.79 ","$53,243.50 ","$1,517.18 ",105,5,Aprovada,,,,,
558,304,11,2012-08-09 01:20:06 UTC,1%,"$50,138.23 ","$64,454.53 ","$14,316.30 ","$2,639.31 ",21,6,Aprovada,,,,,
1007,477,11,2019-06-28 23:35:10 UTC,2%,"$21,308.41 ","$38,455.19 ","$17,146.78 ",$715.60 ,45,0,Aprovada,,,,,
1348,166,11,2011-06-30 02:33:11 UTC,1%,"$187,368.86 ","$247,972.70 ","$60,603.84 ","$7,795.66 ",27,3,Aprovada,,,,,
1698,974,11,2010-07-02 04:01:02 UTC,1%,"$102,374.26 ","$181,186.45 ","$78,812.19 ","$1,830.28 ",104,0,Aprovada,,,,,
401,381,12,2018-09-18 04:40:05 UTC,2%,"$153,936.07 ","$220,403.96 ","$66,467.89 ","$14,636.71 ",12,5,Aprovada,,,,,
364,124,13,2018-01-16 00:59:56 UTC,1%,"$118,005.01 ","$140,398.05 ","$22,393.04 ","$3,137.42 ",46,5,Aprovada,,,,,
680,305,13,2010-05-13 14:01:20 UTC,1%,"$125,941.00 ","$152,157.33 ","$26,216.33 ","$32,610.86 ",4,2,Aprovada,,,,,
1109,868,13,2013-09-06 13:39:17 UTC,2%,"$82,474.21 ","$104,582.66 ","$22,108.45 ","$4,384.72 ",25,3,Aprovada,,,,,
1176,185,13,2012-05-22 15:58:45 UTC,2%,"$45,004.70 ","$87,601.63 ","$42,596.93 ","$1,212.58 ",81,6,Aprovada,,,,,
1323,250,13,2022-06-27 21:44:35 UTC,2%,"$35,073.08 ","$61,732.16 ","$26,659.08 ",$886.86 ,84,5,Aprovada,,,,,
1338,89,13,2016-05-26 10:10:01 UTC,2%,"$1,544.23 ","$2,686.85 ","$1,142.62 ",$42.31 ,57,2,Aprovada,,,,,
148,977,14,2016-05-03 07:39:34 UTC,2%,"$21,409.03 ","$33,942.43 ","$12,533.40 ",$509.37 ,82,3,Aprovada,,,,,
390,731,14,2016-08-13 09:15:47 UTC,2%,"$44,905.60 ","$82,678.99 ","$37,773.39 ","$1,585.16 ",45,6,Aprovada,,,,,
597,278,14,2014-02-13 05:32:13 UTC,2%,"$153,339.02 ","$184,273.02 ","$30,934.00 ","$6,114.36 ",32,4,Aprovada,,,,,
1033,317,14,2020-11-11 02:05:05 UTC,1%,"$95,334.49 ","$131,387.49 ","$36,053.00 ","$1,620.64 ",107,0,Aprovada,,,,,
1855,326,14,2021-12-17 08:09:29 UTC,2%,"$77,958.77 ","$132,052.36 ","$54,093.59 ","$2,386.11 ",67,0,Aprovada,,,,,
1962,325,14,2013-12-21 15:52:35 UTC,2%,"$96,168.13 ","$181,788.59 ","$85,620.46 ","$49,756.52 ",2,3,Aprovada,,,,,
1977,795,14,2016-01-23 19:08:53 UTC,2%,"$149,018.71 ","$238,371.53 ","$89,352.82 ","$7,826.38 ",26,4,Aprovada,,,,,
477,42,15,2013-12-23 02:18:55 UTC,2%,"$127,838.93 ","$186,532.25 ","$58,693.32 ","$9,261.93 ",17,6,Aprovada,,,,,
879,940,15,2013-05-13 11:59:03 UTC,2%,"$31,742.21 ","$55,718.26 ","$23,976.05 ",$789.28 ,95,3,Aprovada,,,,,
1308,390,15,2021-03-15 17:13:43 UTC,1%,"$38,900.42 ","$57,310.90 ","$18,410.48 ","$1,070.92 ",45,4,Aprovada,,,,,
1568,775,15,2011-09-11 19:27:48 UTC,2%,"$142,948.14 ","$237,373.46 ","$94,425.32 ","$3,247.66 ",113,0,Aprovada,,,,,
376,772,16,2016-02-23 21:43:40 UTC,1%,"$132,611.90 ","$249,769.01 ","$117,157.11 ","$3,184.55 ",51,0,Aprovada,,,,,
924,84,16,2017-12-21 18:48:42 UTC,1%,"$102,240.19 ","$160,986.94 ","$58,746.75 ","$1,565.31 ",104,1,Aprovada,,,,,
948,283,16,2021-08-30 05:16:24 UTC,2%,"$16,374.68 ","$25,075.10 ","$8,700.42 ",$567.37 ,44,3,Aprovada,,,,,
962,72,16,2020-10-10 16:15:03 UTC,2%,"$1,649.37 ","$2,180.78 ",$531.41 ,$42.21 ,70,1,Aprovada,,,,,
1135,658,16,2019-01-17 19:51:56 UTC,1%,"$53,655.20 ","$84,533.02 ","$30,877.82 ","$27,262.99 ",2,4,Aprovada,,,,,
422,767,17,2011-05-13 19:45:21 UTC,2%,"$108,673.57 ","$192,219.73 ","$83,546.16 ","$5,417.15 ",25,2,Aprovada,,,,,
1290,701,17,2020-02-25 06:37:03 UTC,1%,"$42,093.66 ","$65,760.97 ","$23,667.31 ",$670.94 ,94,6,Aprovada,,,,,
1912,740,17,2016-05-26 17:59:59 UTC,2%,"$161,208.88 ","$217,634.61 ","$56,425.73 ","$7,865.12 ",25,0,Aprovada,,,,,
1923,283,17,2015-12-08 22:10:31 UTC,1%,"$90,461.32 ","$123,554.84 ","$33,093.52 ","$3,833.41 ",28,4,Aprovada,,,,,
56,692,18,2019-12-27 22:55:29 UTC,1%,"$37,945.86 ","$64,943.69 ","$26,997.83 ","$2,792.17 ",15,3,Aprovada,,,,,
476,255,18,2022-06-18 23:21:12 UTC,2%,"$54,108.81 ","$73,240.14 ","$19,131.33 ","$2,635.71 ",28,1,Aprovada,,,,,
503,445,18,2014-02-09 10:10:20 UTC,2%,"$22,005.79 ","$37,966.99 ","$15,961.20 ","$3,000.12 ",8,0,Aprovada,,,,,
608,765,18,2015-03-23 18:00:36 UTC,2%,"$37,628.03 ","$45,367.34 ","$7,739.31 ","$1,362.05 ",42,0,Aprovada,,,,,
793,677,18,2021-07-02 08:38:23 UTC,1%,"$182,648.99 ","$227,647.20 ","$44,998.21 ","$5,326.09 ",41,0,Aprovada,,,,,
900,29,18,2011-10-18 17:50:52 UTC,2%,"$32,170.92 ","$62,254.76 ","$30,083.84 ","$2,371.27 ",16,4,Aprovada,,,,,
